"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test with steps","This will create a new student","SUCCESS","2022-01-10T08:28:36.795Z[Europe/London]","0.0","11.41"
"Student get test with steps","This will search Students with Parameters and limit of students list","SUCCESS","2022-01-10T08:28:36.795Z[Europe/London]","0.0","9.46"
"Student get test with steps","This will search Students with Parameters","SUCCESS","2022-01-10T08:28:46.330Z[Europe/London]","0.0","0.2"
"Student get test with steps","This will get single Student info by Id","SUCCESS","2022-01-10T08:28:46.533Z[Europe/London]","0.0","0.75"
"Student get test with steps","This will get all Students info","SUCCESS","2022-01-10T08:28:47.282Z[Europe/London]","0.0","0.34"
"Student CRUD test with steps","Verify if the student was added to the application","SUCCESS","2022-01-10T08:28:48.236Z[Europe/London]","0.0","1.0"
"Student CRUD test with steps","Update the user information and verify the updated information","SUCCESS","2022-01-10T08:28:49.251Z[Europe/London]","0.0","0.38"
"Student CRUD test with steps","Delete the student and verify if the student is deleted!","SUCCESS","2022-01-10T08:28:49.626Z[Europe/London]","0.0","0.09"
